event_id,event_type,actor,repo,created_at,payload_size,event_date
E0000093,PushEvent,data-eng-42,dagster-io/dagster,2026-08-05 04:12:00,5162,2026-08-05
E0000094,PushEvent,diyar,airbytehq/airbyte,2026-08-05 18:19:00,2470,2026-08-05
E0000095,IssuesEvent,sre-bot,airbytehq/airbyte,2026-08-05 06:27:00,3929,2026-08-05
E0000096,PullRequestEvent,sre-bot,duckdb/duckdb,2026-08-05 14:28:00,6622,2026-08-05
E0000097,PullRequestEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-05 23:10:00,5558,2026-08-05
E0000098,PushEvent,octocat,airbytehq/airbyte,2026-08-05 20:39:00,1960,2026-08-05
E0000099,PushEvent,octocat,duckdb/duckdb,2026-08-05 06:09:00,5127,2026-08-05
E0000100,PushEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-05 02:29:00,1712,2026-08-05
E0000101,PushEvent,data-eng-42,dagster-io/dagster,2026-08-05 22:44:00,1328,2026-08-05
E0000102,PushEvent,diyar,duckdb/duckdb,2026-08-05 20:44:00,1912,2026-08-05
E0000103,ForkEvent,sre-bot,duckdb/duckdb,2026-08-05 05:51:00,531,2026-08-05
E0000104,WatchEvent,diyar,duckdb/duckdb,2026-08-05 17:15:00,1212,2026-08-05
E0000105,PullRequestEvent,sre-bot,snowflakedb/snowflake-connector-python,2026-08-05 14:42:00,2719,2026-08-05
E0000106,IssuesEvent,sre-bot,duckdb/duckdb,2026-08-05 14:39:00,6924,2026-08-05
E0000107,WatchEvent,analyst-99,duckdb/duckdb,2026-08-05 17:28:00,3806,2026-08-05
E0000108,PushEvent,analyst-99,airbytehq/airbyte,2026-08-05 08:48:00,6393,2026-08-05
E0000109,PullRequestEvent,jane-ae,duckdb/duckdb,2026-08-05 16:31:00,754,2026-08-05
E0000110,PushEvent,jane-ae,airbytehq/airbyte,2026-08-05 22:18:00,7435,2026-08-05
E0000111,PushEvent,octocat,duckdb/duckdb,2026-08-05 17:05:00,5804,2026-08-05
E0000112,PushEvent,data-eng-42,duckdb/duckdb,2026-08-05 04:45:00,2830,2026-08-05
E0000113,PushEvent,octocat,duckdb/duckdb,2026-08-05 17:29:00,3310,2026-08-05
E0000114,PushEvent,sre-bot,duckdb/duckdb,2026-08-05 18:44:00,4027,2026-08-05
E0000115,PushEvent,data-eng-42,duckdb/duckdb,2026-08-05 00:22:00,4529,2026-08-05
E0000116,PullRequestEvent,sre-bot,dagster-io/dagster,2026-08-05 23:47:00,4119,2026-08-05
E0000117,PushEvent,diyar,duckdb/duckdb,2026-08-05 07:17:00,2873,2026-08-05
E0000118,IssuesEvent,analyst-99,dagster-io/dagster,2026-08-05 21:43:00,7005,2026-08-05
E0000119,PushEvent,sre-bot,snowflakedb/snowflake-connector-python,2026-08-05 14:58:00,340,2026-08-05
E0000120,PullRequestEvent,diyar,dbt-labs/dbt-core,2026-08-05 12:37:00,5385,2026-08-05
E0000121,WatchEvent,octocat,dbt-labs/dbt-core,2026-08-05 13:08:00,2251,2026-08-05
E0000122,PushEvent,jane-ae,airbytehq/airbyte,2026-08-05 12:20:00,6355,2026-08-05
E0000123,IssuesEvent,data-eng-42,airbytehq/airbyte,2026-08-05 12:17:00,6959,2026-08-05
E0000124,PushEvent,sre-bot,dbt-labs/dbt-core,2026-08-05 02:30:00,7918,2026-08-05
E0000125,PullRequestEvent,analyst-99,dbt-labs/dbt-core,2026-08-05 11:14:00,6298,2026-08-05
E0000126,PushEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-05 00:15:00,1368,2026-08-05
E0000127,PushEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-05 07:08:00,7884,2026-08-05
E0000128,PullRequestEvent,jane-ae,dagster-io/dagster,2026-08-05 06:29:00,5083,2026-08-05
E0000129,IssuesEvent,octocat,airbytehq/airbyte,2026-08-05 19:47:00,1005,2026-08-05
E0000130,WatchEvent,sre-bot,duckdb/duckdb,2026-08-05 18:01:00,3369,2026-08-05
E0000131,PushEvent,analyst-99,dagster-io/dagster,2026-08-05 22:12:00,954,2026-08-05
E0000132,PushEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-05 22:49:00,6718,2026-08-05
E0000133,ForkEvent,diyar,airbytehq/airbyte,2026-08-05 03:50:00,4484,2026-08-05
E0000134,PushEvent,sre-bot,airbytehq/airbyte,2026-08-05 13:42:00,223,2026-08-05
E0000135,PushEvent,data-eng-42,airbytehq/airbyte,2026-08-05 13:52:00,5326,2026-08-05
E0000136,PushEvent,octocat,snowflakedb/snowflake-connector-python,2026-08-05 14:45:00,5448,2026-08-05
E0000137,IssuesEvent,sre-bot,duckdb/duckdb,2026-08-05 08:39:00,3928,2026-08-05
E0000138,IssuesEvent,jane-ae,airbytehq/airbyte,2026-08-05 13:52:00,7097,2026-08-05
E0000139,WatchEvent,jane-ae,duckdb/duckdb,2026-08-05 07:53:00,2117,2026-08-05
E0000140,PullRequestEvent,data-eng-42,airbytehq/airbyte,2026-08-05 14:36:00,355,2026-08-05
E0000141,PushEvent,data-eng-42,dagster-io/dagster,2026-08-05 15:54:00,3026,2026-08-05
E0000142,PushEvent,sre-bot,airbytehq/airbyte,2026-08-05 08:21:00,4673,2026-08-05
E0000143,WatchEvent,diyar,dagster-io/dagster,2026-08-05 00:33:00,6018,2026-08-05
E0000144,PullRequestEvent,octocat,duckdb/duckdb,2026-08-05 13:31:00,5411,2026-08-05
E0000145,PushEvent,diyar,dbt-labs/dbt-core,2026-08-05 22:31:00,2530,2026-08-05
E0000146,PullRequestEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-05 07:25:00,3143,2026-08-05
E0000147,PullRequestEvent,data-eng-42,snowflakedb/snowflake-connector-python,2026-08-05 15:35:00,2829,2026-08-05
E0000148,PushEvent,jane-ae,airbytehq/airbyte,2026-08-05 11:44:00,2008,2026-08-05
E0000149,PushEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-05 03:46:00,7909,2026-08-05
E0000150,PushEvent,analyst-99,duckdb/duckdb,2026-08-05 22:11:00,2385,2026-08-05
E0000151,PushEvent,diyar,dagster-io/dagster,2026-08-06 16:38:00,2546,2026-08-06
E0000152,PushEvent,diyar,snowflakedb/snowflake-connector-python,2026-08-06 07:23:00,1156,2026-08-06
E0000153,ForkEvent,sre-bot,airbytehq/airbyte,2026-08-06 08:02:00,5833,2026-08-06
E0000154,WatchEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 04:40:00,7269,2026-08-06
E0000155,PushEvent,data-eng-42,duckdb/duckdb,2026-08-06 00:36:00,2911,2026-08-06
E0000156,PushEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 05:03:00,6854,2026-08-06
E0000157,PushEvent,sre-bot,dbt-labs/dbt-core,2026-08-06 02:25:00,1362,2026-08-06
E0000158,PullRequestEvent,jane-ae,dbt-labs/dbt-core,2026-08-06 04:51:00,2153,2026-08-06
E0000159,IssuesEvent,sre-bot,snowflakedb/snowflake-connector-python,2026-08-06 03:35:00,6597,2026-08-06
E0000160,IssuesEvent,data-eng-42,duckdb/duckdb,2026-08-06 19:14:00,7562,2026-08-06
E0000161,WatchEvent,data-eng-42,airbytehq/airbyte,2026-08-06 14:19:00,4778,2026-08-06
E0000162,PullRequestEvent,analyst-99,dbt-labs/dbt-core,2026-08-06 19:03:00,7882,2026-08-06
E0000163,PushEvent,analyst-99,dbt-labs/dbt-core,2026-08-06 06:40:00,1406,2026-08-06
E0000164,PullRequestEvent,octocat,dbt-labs/dbt-core,2026-08-06 07:11:00,3466,2026-08-06
E0000165,PullRequestEvent,jane-ae,dbt-labs/dbt-core,2026-08-06 14:44:00,2016,2026-08-06
E0000166,PushEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 09:45:00,5751,2026-08-06
E0000167,PushEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-06 07:59:00,5536,2026-08-06
E0000168,PushEvent,octocat,dagster-io/dagster,2026-08-06 06:27:00,7561,2026-08-06
E0000169,PushEvent,diyar,dagster-io/dagster,2026-08-06 08:52:00,6613,2026-08-06
E0000170,IssuesEvent,sre-bot,airbytehq/airbyte,2026-08-06 09:38:00,3717,2026-08-06
E0000171,PullRequestEvent,analyst-99,duckdb/duckdb,2026-08-06 03:29:00,7842,2026-08-06
E0000172,PullRequestEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 08:32:00,5019,2026-08-06
E0000173,PushEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-06 01:56:00,2171,2026-08-06
E0000174,PushEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-06 00:05:00,4929,2026-08-06
E0000175,PullRequestEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-06 00:48:00,449,2026-08-06
E0000176,PullRequestEvent,data-eng-42,airbytehq/airbyte,2026-08-06 05:30:00,1606,2026-08-06
E0000177,PullRequestEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 18:27:00,3970,2026-08-06
E0000178,PushEvent,analyst-99,dbt-labs/dbt-core,2026-08-06 11:26:00,7146,2026-08-06
E0000179,PushEvent,data-eng-42,airbytehq/airbyte,2026-08-06 05:21:00,5547,2026-08-06
E0000180,IssuesEvent,diyar,duckdb/duckdb,2026-08-06 12:52:00,841,2026-08-06
E0000181,PushEvent,data-eng-42,snowflakedb/snowflake-connector-python,2026-08-06 10:16:00,6877,2026-08-06
E0000182,WatchEvent,data-eng-42,duckdb/duckdb,2026-08-06 00:42:00,564,2026-08-06
E0000183,PushEvent,data-eng-42,duckdb/duckdb,2026-08-06 06:33:00,6345,2026-08-06
E0000184,PushEvent,octocat,airbytehq/airbyte,2026-08-06 01:13:00,3709,2026-08-06
E0000185,PushEvent,analyst-99,snowflakedb/snowflake-connector-python,2026-08-06 22:31:00,6667,2026-08-06
E0000186,PushEvent,sre-bot,dbt-labs/dbt-core,2026-08-06 07:45:00,4644,2026-08-06
E0000187,PushEvent,diyar,duckdb/duckdb,2026-08-06 13:05:00,7878,2026-08-06
E0000188,IssuesEvent,data-eng-42,airbytehq/airbyte,2026-08-06 03:41:00,4288,2026-08-06
E0000189,PushEvent,data-eng-42,duckdb/duckdb,2026-08-06 22:17:00,2116,2026-08-06
E0000190,PushEvent,octocat,snowflakedb/snowflake-connector-python,2026-08-06 14:35:00,4283,2026-08-06
E0000191,PushEvent,diyar,airbytehq/airbyte,2026-08-06 23:56:00,6449,2026-08-06
E0000192,WatchEvent,sre-bot,airbytehq/airbyte,2026-08-06 13:21:00,6841,2026-08-06
E0000193,IssuesEvent,sre-bot,snowflakedb/snowflake-connector-python,2026-08-06 00:18:00,5526,2026-08-06
E0000194,PushEvent,sre-bot,duckdb/duckdb,2026-08-06 15:55:00,2947,2026-08-06
E0000195,IssuesEvent,data-eng-42,duckdb/duckdb,2026-08-06 10:35:00,7761,2026-08-06
E0000196,PushEvent,analyst-99,dagster-io/dagster,2026-08-06 10:55:00,4804,2026-08-06
E0000197,WatchEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 12:14:00,2726,2026-08-06
E0000198,IssuesEvent,data-eng-42,duckdb/duckdb,2026-08-06 23:30:00,5556,2026-08-06
E0000199,PushEvent,diyar,dagster-io/dagster,2026-08-06 20:09:00,4234,2026-08-06
E0000200,WatchEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 18:21:00,4428,2026-08-06
E0000201,IssuesEvent,data-eng-42,dagster-io/dagster,2026-08-06 14:00:00,732,2026-08-06
E0000202,ForkEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-06 15:50:00,5794,2026-08-06
E0000203,PushEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-06 12:41:00,3233,2026-08-06
E0000204,IssuesEvent,data-eng-42,snowflakedb/snowflake-connector-python,2026-08-06 10:40:00,414,2026-08-06
E0000205,PushEvent,analyst-99,airbytehq/airbyte,2026-08-06 19:04:00,1983,2026-08-06
E0000206,PushEvent,diyar,dbt-labs/dbt-core,2026-08-06 23:05:00,3754,2026-08-06
E0000207,PushEvent,diyar,dbt-labs/dbt-core,2026-08-06 05:44:00,2777,2026-08-06
E0000208,PushEvent,data-eng-42,dagster-io/dagster,2026-08-06 01:18:00,2120,2026-08-06
E0000209,PullRequestEvent,octocat,dagster-io/dagster,2026-08-06 16:26:00,1554,2026-08-06
E0000210,WatchEvent,sre-bot,dagster-io/dagster,2026-08-06 02:39:00,4196,2026-08-06
E0000211,PushEvent,analyst-99,airbytehq/airbyte,2026-08-06 18:09:00,3884,2026-08-06
E0000212,PushEvent,data-eng-42,airbytehq/airbyte,2026-08-06 08:42:00,5670,2026-08-06
E0000213,PushEvent,jane-ae,snowflakedb/snowflake-connector-python,2026-08-06 17:10:00,2570,2026-08-06
E0000214,PullRequestEvent,data-eng-42,airbytehq/airbyte,2026-08-06 20:27:00,1751,2026-08-06
E0000215,PushEvent,octocat,duckdb/duckdb,2026-08-06 12:54:00,4805,2026-08-06
E0000216,PushEvent,analyst-99,airbytehq/airbyte,2026-08-06 11:36:00,299,2026-08-06
E0000217,PushEvent,sre-bot,dbt-labs/dbt-core,2026-08-06 21:25:00,7579,2026-08-06
E0000218,PushEvent,jane-ae,dagster-io/dagster,2026-08-06 19:47:00,5093,2026-08-06
E0000219,PullRequestEvent,sre-bot,airbytehq/airbyte,2026-08-06 11:14:00,5672,2026-08-06
E0000220,PullRequestEvent,octocat,dbt-labs/dbt-core,2026-08-06 23:49:00,7520,2026-08-06
E0000221,PushEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 20:41:00,4867,2026-08-06
E0000222,PushEvent,jane-ae,airbytehq/airbyte,2026-08-06 11:46:00,6243,2026-08-06
E0000223,PushEvent,sre-bot,airbytehq/airbyte,2026-08-06 13:11:00,4468,2026-08-06
E0000224,PushEvent,octocat,airbytehq/airbyte,2026-08-06 16:58:00,7607,2026-08-06
E0000225,PushEvent,jane-ae,dbt-labs/dbt-core,2026-08-06 15:51:00,3956,2026-08-06
E0000226,IssuesEvent,octocat,duckdb/duckdb,2026-08-06 02:09:00,7048,2026-08-06
E0000227,PushEvent,data-eng-42,dbt-labs/dbt-core,2026-08-06 17:23:00,2286,2026-08-06
