subscription_id,user_id,plan,mrr,start_date,end_date,status
111,111,basic,10,2023-02-28,2023-09-11,churned
112,112,basic,10,2023-03-04,2023-05-29,churned
113,113,basic,10,2023-02-27,2023-09-16,churned
114,114,pro,50,2023-02-26,2023-07-02,churned
115,115,basic,10,2023-03-03,2023-12-14,churned
116,116,basic,10,2023-03-05,2023-06-30,churned
117,117,basic,10,2023-03-01,2023-07-15,churned
118,118,pro,50,2023-02-28,,active
119,119,pro,50,2023-03-03,2023-05-23,churned
120,120,basic,10,2023-03-05,2023-05-24,churned
121,121,basic,10,2023-03-07,2023-09-10,churned
122,122,pro,50,2023-03-03,2024-02-12,churned
123,123,pro,50,2023-03-09,,active
124,124,pro,50,2023-03-05,,active
125,125,basic,10,2023-03-07,2023-08-04,churned
126,126,pro,50,2023-03-10,2023-10-26,churned
127,127,basic,10,2023-03-11,2023-09-14,churned
128,128,enterprise,200,2023-03-09,2023-07-02,churned
129,129,pro,50,2023-03-12,,active
130,130,basic,10,2023-03-13,2024-01-02,churned
131,131,basic,10,2023-03-12,2023-09-04,churned
132,132,pro,50,2023-03-10,2023-08-15,churned
133,133,pro,50,2023-03-14,2023-06-17,churned
134,134,pro,50,2023-03-12,2024-01-26,churned
135,135,pro,50,2023-03-15,,active
136,136,pro,50,2023-03-14,,active
137,137,pro,50,2023-03-11,,active
138,138,basic,10,2023-03-14,2023-09-25,churned
139,139,enterprise,200,2023-03-11,2023-12-18,churned
140,140,basic,10,2023-03-16,2023-10-22,churned
141,141,basic,10,2023-03-18,2024-02-02,churned
142,142,enterprise,200,2023-03-13,,active
143,143,basic,10,2023-03-16,2023-12-24,churned
144,144,basic,10,2023-03-13,2024-02-11,churned
145,145,basic,10,2023-03-17,2023-06-20,churned
146,146,enterprise,200,2023-03-19,,active
147,147,basic,10,2023-03-16,2023-10-15,churned
148,148,basic,10,2023-03-19,2023-11-01,churned
149,149,basic,10,2023-03-22,2024-02-28,churned
150,150,basic,10,2023-03-18,2024-04-21,churned
151,151,basic,10,2023-03-23,2023-08-19,churned
152,152,basic,10,2023-03-21,2023-05-20,churned
153,153,pro,50,2023-03-22,2023-12-27,churned
154,154,basic,10,2023-03-23,2024-01-03,churned
155,155,basic,10,2023-03-22,2023-08-15,churned
156,156,basic,10,2023-03-20,2024-04-22,churned
157,157,basic,10,2023-03-25,2023-09-21,churned
158,158,pro,50,2023-03-24,2023-09-01,churned
159,159,pro,50,2023-03-23,2023-09-24,churned
160,160,basic,10,2023-03-28,2023-07-03,churned
161,161,basic,10,2023-03-29,2024-04-14,churned
162,162,basic,10,2023-03-25,2023-12-06,churned
163,163,enterprise,200,2023-03-30,,active
164,164,pro,50,2023-03-25,,active
165,165,pro,50,2023-03-24,,active
166,166,basic,10,2023-03-25,2023-09-13,churned
167,167,enterprise,200,2023-03-27,,active
168,168,basic,10,2023-04-01,2023-10-05,churned
169,169,basic,10,2023-03-27,2024-01-18,churned
170,170,basic,10,2023-03-31,2024-01-11,churned
171,171,basic,10,2023-04-02,2024-03-07,churned
172,172,enterprise,200,2023-04-03,,active
173,173,pro,50,2023-04-04,2023-10-07,churned
174,174,basic,10,2023-04-01,2024-02-21,churned
175,175,pro,50,2023-04-05,,active
176,176,enterprise,200,2023-04-02,,active
177,177,enterprise,200,2023-04-03,2023-11-20,churned
178,178,pro,50,2023-04-04,,active
179,179,enterprise,200,2023-04-01,2023-09-26,churned
180,180,enterprise,200,2023-04-06,,active
181,181,pro,50,2023-04-04,2023-12-28,churned
182,182,basic,10,2023-04-06,2024-01-03,churned
183,183,basic,10,2023-04-02,2024-01-02,churned
184,184,pro,50,2023-04-08,,active
185,185,basic,10,2023-04-03,2024-03-22,churned
186,186,pro,50,2023-04-09,2023-12-05,churned
187,187,basic,10,2023-04-08,2024-01-07,churned
188,188,basic,10,2023-04-07,2023-10-23,churned
189,189,basic,10,2023-04-11,2023-12-26,churned
190,190,basic,10,2023-04-10,2024-01-02,churned
191,191,enterprise,200,2023-04-08,,active
192,192,pro,50,2023-04-08,,active
193,193,pro,50,2023-04-07,,active
194,194,pro,50,2023-04-07,2024-01-11,churned
195,195,basic,10,2023-04-10,2023-09-10,churned
196,196,pro,50,2023-04-08,2023-11-21,churned
197,197,pro,50,2023-04-12,2023-11-30,churned
198,198,pro,50,2023-04-15,2024-01-15,churned
199,199,basic,10,2023-04-14,2024-02-08,churned
200,200,pro,50,2023-04-10,,active
201,201,basic,10,2023-04-11,,active
202,202,enterprise,200,2023-04-16,2023-07-20,churned
203,203,enterprise,200,2023-04-12,,active
204,204,basic,10,2023-04-15,2023-06-24,churned
205,205,pro,50,2023-04-15,2024-02-11,churned
206,206,pro,50,2023-04-14,2023-10-02,churned
207,207,basic,10,2023-04-21,2023-12-25,churned
208,208,enterprise,200,2023-04-16,,active
209,209,enterprise,200,2023-04-16,,active
210,210,basic,10,2023-04-17,,active
211,211,basic,10,2023-04-17,2023-11-22,churned
212,212,basic,10,2023-04-22,2023-09-30,churned
213,213,basic,10,2023-04-18,2024-05-03,churned
214,214,basic,10,2023-04-20,2023-11-20,churned
215,215,enterprise,200,2023-04-19,,active
216,216,basic,10,2023-04-18,2024-01-22,churned
217,217,basic,10,2023-04-24,2024-05-19,churned
218,218,enterprise,200,2023-04-24,2024-01-24,churned
219,219,pro,50,2023-04-27,2023-12-28,churned
220,220,basic,10,2023-04-27,2024-02-03,churned
221,221,basic,10,2023-04-23,2024-05-20,churned
222,222,basic,10,2023-04-25,2024-03-25,churned
223,223,pro,50,2023-04-29,2024-04-26,churned
224,224,basic,10,2023-04-26,2023-10-28,churned
225,225,pro,50,2023-04-24,2024-02-08,churned
226,226,enterprise,200,2023-04-26,,active
227,227,basic,10,2023-04-30,2024-03-08,churned
228,228,enterprise,200,2023-04-29,2023-10-14,churned
229,229,enterprise,200,2023-04-30,,active
230,230,basic,10,2023-04-30,2024-04-29,churned
231,231,enterprise,200,2023-04-30,,active
232,232,pro,50,2023-04-29,2024-01-22,churned
233,233,enterprise,200,2023-05-04,,active
234,234,pro,50,2023-04-30,,active
235,235,pro,50,2023-05-05,2023-07-12,churned
236,236,pro,50,2023-04-29,2024-01-21,churned
237,237,enterprise,200,2023-05-02,,active
238,238,pro,50,2023-05-04,2024-03-30,churned
239,239,pro,50,2023-05-05,2024-04-10,churned
240,240,enterprise,200,2023-05-05,,active
241,241,basic,10,2023-05-08,2023-11-12,churned
242,242,basic,10,2023-05-04,2023-10-09,churned
243,243,basic,10,2023-05-07,2024-04-05,churned
244,244,basic,10,2023-05-04,2024-03-06,churned
245,245,basic,10,2023-05-07,2024-03-30,churned
246,246,enterprise,200,2023-05-07,,active
247,247,basic,10,2023-05-07,2024-01-06,churned
248,248,pro,50,2023-05-06,2024-04-03,churned
249,249,basic,10,2023-05-07,2023-08-02,churned
250,250,enterprise,200,2023-05-09,,active
251,251,enterprise,200,2023-05-08,,active
252,252,basic,10,2023-05-13,2023-07-18,churned
253,253,enterprise,200,2023-05-11,,active
254,254,basic,10,2023-05-14,2023-08-08,churned
255,255,pro,50,2023-05-12,,active
256,256,basic,10,2023-05-15,2023-08-16,churned
257,257,enterprise,200,2023-05-15,,active
258,258,basic,10,2023-05-09,2024-04-21,churned
259,259,pro,50,2023-05-14,2023-11-17,churned
260,260,pro,50,2023-05-11,2024-02-08,churned
261,261,basic,10,2023-05-14,2024-01-23,churned
262,262,basic,10,2023-05-18,2023-12-16,churned
263,263,basic,10,2023-05-18,2024-05-29,churned
264,264,basic,10,2023-05-12,2023-08-30,churned
265,265,pro,50,2023-05-16,,active
266,266,basic,10,2023-05-17,2023-10-04,churned
267,267,basic,10,2023-05-17,2023-08-23,churned
268,268,basic,10,2023-05-16,2024-03-01,churned
269,269,pro,50,2023-05-22,2023-11-16,churned
270,270,basic,10,2023-05-19,2024-03-06,churned
271,271,basic,10,2023-05-17,2023-11-28,churned
272,272,basic,10,2023-05-19,2024-04-21,churned
273,273,basic,10,2023-05-20,2023-12-02,churned
274,274,pro,50,2023-05-19,2023-10-10,churned
275,275,basic,10,2023-05-22,2024-05-07,churned
276,276,basic,10,2023-05-22,2024-03-16,churned
277,277,pro,50,2023-05-23,,active
278,278,pro,50,2023-05-23,2024-03-30,churned
279,279,basic,10,2023-05-27,2023-08-15,churned
280,280,pro,50,2023-05-26,,active
281,281,enterprise,200,2023-05-25,2023-11-18,churned
282,282,basic,10,2023-05-21,,active
283,283,pro,50,2023-05-26,2023-10-22,churned
284,284,pro,50,2023-05-29,2024-03-10,churned
285,285,basic,10,2023-05-27,2024-05-20,churned
286,286,basic,10,2023-05-29,2024-04-04,churned
287,287,basic,10,2023-05-25,2024-02-18,churned
288,288,enterprise,200,2023-05-29,,active
289,289,enterprise,200,2023-05-26,,active
290,290,pro,50,2023-05-30,2024-04-07,churned
291,291,basic,10,2023-05-30,2024-02-19,churned
292,292,pro,50,2023-05-26,2024-01-02,churned
293,293,pro,50,2023-05-31,2024-02-21,churned
294,294,basic,10,2023-05-27,2024-04-28,churned
295,295,basic,10,2023-06-04,2023-11-07,churned
296,296,pro,50,2023-06-02,,active
297,297,basic,10,2023-06-05,2023-08-30,churned
298,298,pro,50,2023-06-01,2023-10-06,churned
299,299,basic,10,2023-06-03,2024-04-06,churned
300,300,basic,10,2023-05-31,2024-06-16,churned
301,301,basic,10,2023-06-03,2024-01-08,churned
302,302,basic,10,2023-05-31,2023-09-15,churned
303,303,enterprise,200,2023-06-04,,active
304,304,basic,10,2023-06-02,2023-09-30,churned
305,305,enterprise,200,2023-06-04,,active
306,306,pro,50,2023-06-06,2023-12-22,churned
307,307,pro,50,2023-06-09,,active
308,308,basic,10,2023-06-10,2024-05-17,churned
309,309,pro,50,2023-06-06,2024-06-06,churned
310,310,pro,50,2023-06-06,,active
311,311,basic,10,2023-06-09,2024-03-07,churned
312,312,basic,10,2023-06-10,2024-04-24,churned
313,313,enterprise,200,2023-06-10,,active
314,314,enterprise,200,2023-06-10,,active
315,315,basic,10,2023-06-14,2024-03-28,churned
316,316,pro,50,2023-06-14,2024-05-21,churned
317,317,enterprise,200,2023-06-14,,active
318,318,enterprise,200,2023-06-13,,active
319,319,enterprise,200,2023-06-12,,active
320,320,pro,50,2023-06-12,,active
321,321,basic,10,2023-06-16,2024-04-13,churned
322,322,basic,10,2023-06-16,2024-07-19,churned
323,323,basic,10,2023-06-13,2023-08-30,churned
324,324,pro,50,2023-06-13,2024-06-09,churned
325,325,pro,50,2023-06-17,,active
326,326,basic,10,2023-06-19,2024-04-07,churned
327,327,enterprise,200,2023-06-13,,active
328,328,pro,50,2023-06-19,,active
329,329,pro,50,2023-06-16,2023-12-28,churned
330,330,basic,10,2023-06-19,2024-03-08,churned
331,331,pro,50,2023-06-16,,active
332,332,basic,10,2023-06-21,2024-07-05,churned
333,333,basic,10,2023-06-23,2023-09-09,churned
334,334,basic,10,2023-06-17,2024-01-10,churned
335,335,basic,10,2023-06-20,2024-03-28,churned
336,336,basic,10,2023-06-18,2023-10-07,churned
337,337,pro,50,2023-06-25,2024-01-24,churned
338,338,basic,10,2023-06-18,2023-09-14,churned
339,339,pro,50,2023-06-23,2024-03-29,churned
340,340,basic,10,2023-06-21,2024-03-17,churned
341,341,enterprise,200,2023-06-22,2023-09-30,churned
342,342,enterprise,200,2023-06-26,,active
343,343,basic,10,2023-06-24,2024-06-16,churned
344,344,basic,10,2023-06-23,2024-07-13,churned
345,345,basic,10,2023-06-26,2023-08-29,churned
346,346,pro,50,2023-06-29,,active
347,347,pro,50,2023-06-25,2024-02-16,churned
348,348,basic,10,2023-06-27,2024-03-30,churned
349,349,pro,50,2023-06-28,2024-01-28,churned
350,350,basic,10,2023-06-27,,active
351,351,basic,10,2023-07-02,2024-03-13,churned
352,352,pro,50,2023-06-30,2024-01-27,churned
353,353,basic,10,2023-06-26,,active
354,354,pro,50,2023-07-02,2024-06-15,churned
355,355,basic,10,2023-06-27,2024-05-06,churned
356,356,enterprise,200,2023-07-01,,active
357,357,basic,10,2023-07-01,2024-02-26,churned
358,358,basic,10,2023-07-01,2024-07-12,churned
359,359,pro,50,2023-07-03,,active
360,360,basic,10,2023-07-01,2024-07-16,churned
361,361,enterprise,200,2023-06-30,,active
362,362,pro,50,2023-07-07,2024-03-09,churned
363,363,pro,50,2023-07-03,2024-01-30,churned
364,364,pro,50,2023-07-06,,active
365,365,enterprise,200,2023-07-04,2024-06-04,churned
366,366,enterprise,200,2023-07-07,,active
367,367,pro,50,2023-07-07,,active
368,368,pro,50,2023-07-07,,active
369,369,basic,10,2023-07-11,,active
370,370,basic,10,2023-07-08,2024-02-26,churned
371,371,pro,50,2023-07-06,2023-10-12,churned
372,372,basic,10,2023-07-07,2023-12-29,churned
373,373,basic,10,2023-07-12,,active
374,374,basic,10,2023-07-11,2024-03-29,churned
375,375,basic,10,2023-07-07,2023-11-07,churned
376,376,pro,50,2023-07-14,2024-01-24,churned
377,377,enterprise,200,2023-07-14,,active
378,378,basic,10,2023-07-13,2024-01-08,churned
379,379,pro,50,2023-07-16,2024-06-27,churned
380,380,enterprise,200,2023-07-14,,active
381,381,basic,10,2023-07-13,2024-08-01,churned
382,382,pro,50,2023-07-17,,active
383,383,basic,10,2023-07-15,2023-11-11,churned
384,384,basic,10,2023-07-13,2023-09-30,churned
385,385,enterprise,200,2023-07-16,,active
386,386,basic,10,2023-07-13,2024-06-12,churned
387,387,pro,50,2023-07-15,2024-03-20,churned
388,388,pro,50,2023-07-19,2023-12-05,churned
389,389,basic,10,2023-07-20,2024-05-25,churned
390,390,pro,50,2023-07-20,,active
391,391,enterprise,200,2023-07-19,2024-03-24,churned
392,392,basic,10,2023-07-18,2024-01-14,churned
393,393,enterprise,200,2023-07-21,2024-03-25,churned
394,394,pro,50,2023-07-21,2024-02-07,churned
395,395,pro,50,2023-07-20,,active
396,396,pro,50,2023-07-24,2024-01-08,churned
397,397,basic,10,2023-07-18,2024-03-04,churned
398,398,enterprise,200,2023-07-21,,active
399,399,enterprise,200,2023-07-22,2024-06-29,churned
400,400,pro,50,2023-07-22,2024-01-17,churned
401,401,pro,50,2023-07-25,,active
402,402,pro,50,2023-07-20,2023-12-01,churned
403,403,basic,10,2023-07-23,2023-12-19,churned
404,404,pro,50,2023-07-22,,active
405,405,pro,50,2023-07-22,2024-03-21,churned
406,406,pro,50,2023-07-25,2023-10-01,churned
407,407,pro,50,2023-07-25,2023-11-26,churned
408,408,basic,10,2023-07-29,2023-10-29,churned
409,409,basic,10,2023-07-31,2024-04-01,churned
410,410,basic,10,2023-07-25,2024-01-14,churned
411,411,basic,10,2023-07-25,2024-08-25,churned
412,412,pro,50,2023-07-29,2023-10-12,churned
413,413,pro,50,2023-07-26,,active
414,414,pro,50,2023-08-01,2023-11-24,churned
415,415,basic,10,2023-08-03,2024-05-16,churned
416,416,pro,50,2023-07-28,,active
417,417,basic,10,2023-08-02,2023-11-03,churned
418,418,basic,10,2023-07-30,2024-08-17,churned
419,419,pro,50,2023-08-03,2024-08-02,churned
420,420,enterprise,200,2023-08-02,,active
421,421,basic,10,2023-08-05,2023-12-01,churned
422,422,basic,10,2023-08-02,2024-01-25,churned
423,423,basic,10,2023-08-06,2024-05-24,churned
424,424,basic,10,2023-08-06,2023-11-22,churned
425,425,pro,50,2023-08-06,2024-09-09,churned
426,426,basic,10,2023-08-05,2023-12-21,churned
427,427,pro,50,2023-08-09,2023-11-20,churned
428,428,basic,10,2023-08-03,2024-04-09,churned
429,429,basic,10,2023-08-05,2024-07-30,churned
430,430,basic,10,2023-08-08,2024-05-04,churned
431,431,basic,10,2023-08-09,2024-05-11,churned
432,432,basic,10,2023-08-04,,active
433,433,basic,10,2023-08-09,2024-07-29,churned
434,434,pro,50,2023-08-08,2024-06-09,churned
435,435,basic,10,2023-08-09,2024-04-04,churned
436,436,enterprise,200,2023-08-11,2024-02-29,churned
437,437,basic,10,2023-08-10,2024-07-22,churned
438,438,pro,50,2023-08-07,,active
439,439,pro,50,2023-08-12,2024-02-27,churned
440,440,pro,50,2023-08-12,,active
441,441,pro,50,2023-08-14,2023-12-25,churned
442,442,pro,50,2023-08-15,2024-09-02,churned
443,443,pro,50,2023-08-10,2024-07-06,churned
444,444,pro,50,2023-08-13,2024-05-31,churned
445,445,pro,50,2023-08-16,2024-03-22,churned
446,446,basic,10,2023-08-16,2024-07-31,churned
447,447,basic,10,2023-08-13,2023-12-30,churned
448,448,pro,50,2023-08-14,,active
449,449,pro,50,2023-08-13,,active
450,450,pro,50,2023-08-17,2024-05-20,churned
451,451,pro,50,2023-08-21,,active
452,452,enterprise,200,2023-08-20,,active
453,453,basic,10,2023-08-16,2023-12-10,churned
454,454,basic,10,2023-08-19,2024-08-16,churned
455,455,basic,10,2023-08-23,2024-03-27,churned
456,456,basic,10,2023-08-16,2024-08-16,churned
457,457,pro,50,2023-08-17,2024-03-18,churned
458,458,basic,10,2023-08-20,2024-02-26,churned
459,459,pro,50,2023-08-22,2023-10-24,churned
460,460,basic,10,2023-08-25,2024-01-21,churned
461,461,pro,50,2023-08-21,2024-02-14,churned
462,462,pro,50,2023-08-24,2023-11-13,churned
463,463,basic,10,2023-08-26,2023-12-03,churned
464,464,pro,50,2023-08-25,2024-08-12,churned
465,465,basic,10,2023-08-27,2024-05-26,churned
466,466,basic,10,2023-08-25,2023-11-03,churned
467,467,basic,10,2023-08-27,2024-09-06,churned
468,468,basic,10,2023-08-29,2024-04-30,churned
469,469,basic,10,2023-08-24,2023-12-16,churned
470,470,pro,50,2023-08-26,2024-05-17,churned
471,471,pro,50,2023-08-25,2024-03-30,churned
472,472,pro,50,2023-08-29,2024-01-22,churned
473,473,basic,10,2023-08-26,2023-12-22,churned
474,474,pro,50,2023-08-28,,active
475,475,basic,10,2023-08-31,2024-09-24,churned
476,476,basic,10,2023-08-28,2024-01-09,churned
477,477,enterprise,200,2023-08-31,2024-09-02,churned
478,478,basic,10,2023-08-29,2024-09-27,churned
479,479,pro,50,2023-08-29,2024-09-13,churned
480,480,pro,50,2023-09-04,2024-08-17,churned
481,481,basic,10,2023-09-05,2024-08-19,churned
482,482,basic,10,2023-09-03,2024-09-18,churned
483,483,basic,10,2023-09-04,2023-12-07,churned
484,484,enterprise,200,2023-09-06,,active
485,485,basic,10,2023-09-04,2024-08-31,churned
486,486,basic,10,2023-08-31,2023-12-06,churned
487,487,basic,10,2023-09-05,2023-11-23,churned
488,488,pro,50,2023-09-01,2024-03-25,churned
489,489,basic,10,2023-09-03,2023-12-18,churned
490,490,basic,10,2023-09-08,2024-08-16,churned
491,491,pro,50,2023-09-03,2024-08-20,churned
492,492,enterprise,200,2023-09-06,,active
493,493,basic,10,2023-09-11,2023-12-11,churned
494,494,basic,10,2023-09-11,2024-05-03,churned
495,495,basic,10,2023-09-06,2024-02-01,churned
496,496,pro,50,2023-09-05,2024-06-15,churned
497,497,basic,10,2023-09-13,2024-09-19,churned
498,498,pro,50,2023-09-08,2024-03-30,churned
499,499,pro,50,2023-09-13,2024-05-03,churned
500,500,pro,50,2023-09-07,,active
