_airbyte_ab_id,_airbyte_extracted_at,id,user_id,amount,status,city,order_date
ab_000052,2026-04-28T10:05:00Z,52,97,4244.99,completed,NOVOSIBIRSK,2024-09-05
ab_000053,2026-04-28T10:05:00Z,53,62,1076.6,pending,MOSCOW,2024-03-25
ab_000054,2026-04-28T10:05:00Z,54,49,20.76,pending,KAZAN,2024-08-20
ab_000055,2026-04-28T10:05:00Z,55,37,2120.81,cancelled,NOVOSIBIRSK,2024-03-20
ab_000056,2026-04-28T10:05:00Z,56,25,1490.57,completed,MOSCOW,2024-06-09
ab_000057,2026-04-28T10:05:00Z,57,8,260.21,pending,SPB,2024-01-30
ab_000058,2026-04-28T10:05:00Z,58,66,409.76,completed,MOSCOW,2024-10-31
ab_000059,2026-04-28T10:05:00Z,59,9,3379.31,completed,NOVOSIBIRSK,2024-03-02
ab_000060,2026-04-28T10:05:00Z,60,73,1238.61,cancelled,MOSCOW,2024-11-13
ab_000061,2026-04-28T10:05:00Z,61,11,2101.93,cancelled,KAZAN,2024-05-13
ab_000062,2026-04-28T10:05:00Z,62,27,3351.93,pending,SPB,2024-05-15
ab_000063,2026-04-28T10:05:00Z,63,51,663.08,cancelled,KAZAN,2024-08-22
ab_000064,2026-04-28T10:05:00Z,64,41,4645.8,completed,MOSCOW,2024-08-22
ab_000065,2026-04-28T10:05:00Z,65,80,4992.29,completed,MOSCOW,2024-10-02
ab_000066,2026-04-28T10:05:00Z,66,28,2534.36,completed,KAZAN,2024-02-05
ab_000067,2026-04-28T10:05:00Z,67,32,1853.94,completed,NOVOSIBIRSK,2024-10-05
ab_000068,2026-04-28T10:05:00Z,68,91,1519.56,cancelled,MOSCOW,2024-12-07
ab_000069,2026-04-28T10:05:00Z,69,71,1503.9,cancelled,MOSCOW,2024-03-09
ab_000070,2026-04-28T10:05:00Z,70,34,585.99,completed,SPB,2024-05-19
ab_000071,2026-04-28T10:05:00Z,71,37,3028.1,cancelled,KAZAN,2024-04-14
ab_000072,2026-04-28T10:05:00Z,72,88,3174.85,pending,NOVOSIBIRSK,2024-05-08
ab_000073,2026-04-28T10:05:00Z,73,7,470.57,pending,KAZAN,2024-01-23
ab_000074,2026-04-28T10:05:00Z,74,1,1674.45,completed,KAZAN,2024-03-23
ab_000075,2026-04-28T10:05:00Z,75,95,2214.76,cancelled,NOVOSIBIRSK,2024-10-14
ab_000076,2026-04-28T10:05:00Z,76,2,568.25,cancelled,SPB,2024-10-06
ab_000077,2026-04-28T10:05:00Z,77,5,4174.63,cancelled,SPB,2024-08-08
ab_000078,2026-04-28T10:05:00Z,78,17,218.73,pending,MOSCOW,2024-07-02
ab_000079,2026-04-28T10:05:00Z,79,27,3413.51,cancelled,MOSCOW,2024-06-30
ab_000080,2026-04-28T10:05:00Z,80,100,2803.82,pending,SPB,2024-05-01
ab_000081,2026-04-28T10:05:00Z,81,21,4881.27,completed,NOVOSIBIRSK,2024-01-13
ab_000082,2026-04-28T10:05:00Z,82,23,3685.46,pending,NOVOSIBIRSK,2024-12-08
ab_000083,2026-04-28T10:05:00Z,83,95,4055.64,pending,SPB,2024-12-25
ab_000084,2026-04-28T10:05:00Z,84,14,1918.88,completed,NOVOSIBIRSK,2024-04-23
ab_000085,2026-04-28T10:05:00Z,85,26,4084.77,pending,KAZAN,2024-06-05
ab_000086,2026-04-28T10:05:00Z,86,30,1122.39,cancelled,SPB,2024-07-23
ab_000087,2026-04-28T10:05:00Z,87,43,1400.23,completed,KAZAN,2024-06-28
ab_000088,2026-04-28T10:05:00Z,88,83,2551.93,cancelled,KAZAN,2024-01-15
ab_000089,2026-04-28T10:05:00Z,89,15,4386.42,pending,SPB,2024-10-24
ab_000090,2026-04-28T10:05:00Z,90,34,200.9,cancelled,NOVOSIBIRSK,2024-06-25
ab_000091,2026-04-28T10:05:00Z,91,94,3934.28,pending,MOSCOW,2024-07-16
ab_000092,2026-04-28T10:05:00Z,92,74,958.49,completed,NOVOSIBIRSK,2024-01-01
ab_000093,2026-04-28T10:05:00Z,93,67,4628.62,cancelled,SPB,2024-07-05
ab_000094,2026-04-28T10:05:00Z,94,56,359.17,cancelled,KAZAN,2024-11-15
ab_000095,2026-04-28T10:05:00Z,95,41,3320.3,completed,KAZAN,2024-09-16
ab_000096,2026-04-28T10:05:00Z,96,40,3337.8,pending,NOVOSIBIRSK,2024-12-22
ab_000097,2026-04-28T10:05:00Z,97,38,2776.52,completed,NOVOSIBIRSK,2024-12-06
ab_000098,2026-04-28T10:05:00Z,98,49,3389.82,completed,KAZAN,2024-07-26
ab_000099,2026-04-28T10:05:00Z,99,71,4170.29,pending,KAZAN,2024-04-17
ab_000100,2026-04-28T10:05:00Z,100,56,3930.94,cancelled,KAZAN,2024-08-26
ab_000101,2026-04-28T10:05:00Z,101,57,2216.38,completed,NOVOSIBIRSK,2024-03-27
ab_000102,2026-04-28T10:05:00Z,102,85,433.13,cancelled,KAZAN,2024-02-17
ab_000103,2026-04-28T10:05:00Z,103,97,1181.99,pending,SPB,2024-04-11
ab_000104,2026-04-28T10:05:00Z,104,19,131.88,completed,NOVOSIBIRSK,2024-11-08
ab_000105,2026-04-28T10:05:00Z,105,99,373.41,pending,SPB,2024-12-22
ab_000106,2026-04-28T10:05:00Z,106,50,2476.94,completed,SPB,2024-12-01
ab_000107,2026-04-28T10:05:00Z,107,89,37.67,completed,NOVOSIBIRSK,2024-04-22
ab_000108,2026-04-28T10:05:00Z,108,23,4022.51,cancelled,NOVOSIBIRSK,2024-01-26
ab_000109,2026-04-28T10:05:00Z,109,72,1253.5,completed,NOVOSIBIRSK,2024-03-09
ab_000110,2026-04-28T10:05:00Z,110,60,3341.21,cancelled,KAZAN,2024-08-14
ab_000111,2026-04-28T10:05:00Z,111,79,4076.88,cancelled,NOVOSIBIRSK,2024-10-07
ab_000112,2026-04-28T10:05:00Z,112,58,4487.07,cancelled,NOVOSIBIRSK,2024-08-18
ab_000113,2026-04-28T10:05:00Z,113,34,3761.37,cancelled,KAZAN,2024-09-23
ab_000114,2026-04-28T10:05:00Z,114,63,3137.47,pending,NOVOSIBIRSK,2024-02-09
ab_000115,2026-04-28T10:05:00Z,115,92,1435.78,pending,KAZAN,2024-06-12
ab_000116,2026-04-28T10:05:00Z,116,70,412.08,completed,SPB,2024-07-15
ab_000117,2026-04-28T10:05:00Z,117,89,772.5,completed,MOSCOW,2024-07-31
ab_000118,2026-04-28T10:05:00Z,118,53,1661.1,pending,NOVOSIBIRSK,2024-02-01
ab_000119,2026-04-28T10:05:00Z,119,27,4166.13,pending,MOSCOW,2024-10-21
ab_000120,2026-04-28T10:05:00Z,120,49,2390.13,pending,KAZAN,2024-07-18
ab_000121,2026-04-28T10:05:00Z,121,54,2695.72,cancelled,SPB,2024-09-06
ab_000122,2026-04-28T10:05:00Z,122,29,1371.95,pending,MOSCOW,2024-07-18
ab_000123,2026-04-28T10:05:00Z,123,44,3347.68,pending,SPB,2024-08-27
ab_000124,2026-04-28T10:05:00Z,124,17,4903.8,cancelled,MOSCOW,2024-07-20
ab_000125,2026-04-28T10:05:00Z,125,76,2826.32,completed,MOSCOW,2024-11-25
ab_000126,2026-04-28T10:05:00Z,126,55,687.14,pending,SPB,2024-01-26
ab_000127,2026-04-28T10:05:00Z,127,34,1901.73,completed,NOVOSIBIRSK,2024-06-16
ab_000128,2026-04-28T10:05:00Z,128,44,3808.54,pending,KAZAN,2024-08-03
ab_000129,2026-04-28T10:05:00Z,129,33,4176.21,pending,MOSCOW,2024-10-03
ab_000130,2026-04-28T10:05:00Z,130,7,4999.54,pending,SPB,2024-11-28
ab_000131,2026-04-28T10:05:00Z,131,9,3908.35,cancelled,MOSCOW,2024-01-16
ab_000132,2026-04-28T10:05:00Z,132,32,1004.81,completed,SPB,2024-05-02
ab_000133,2026-04-28T10:05:00Z,133,17,2373.07,completed,SPB,2024-08-26
ab_000134,2026-04-28T10:05:00Z,134,90,1288.66,pending,SPB,2024-11-06
ab_000135,2026-04-28T10:05:00Z,135,78,4819.04,cancelled,MOSCOW,2024-03-24
ab_000136,2026-04-28T10:05:00Z,136,40,549.41,completed,KAZAN,2024-10-21
ab_000137,2026-04-28T10:05:00Z,137,87,4541.05,pending,NOVOSIBIRSK,2024-04-11
ab_000138,2026-04-28T10:05:00Z,138,10,2964.57,cancelled,SPB,2024-02-22
ab_000139,2026-04-28T10:05:00Z,139,90,3864.68,cancelled,MOSCOW,2024-10-16
ab_000140,2026-04-28T10:05:00Z,140,101,214.93,cancelled,NOVOSIBIRSK,2024-12-04
ab_000141,2026-04-28T10:05:00Z,141,48,354.09,cancelled,KAZAN,2024-01-07
ab_000142,2026-04-28T10:05:00Z,142,54,4113.43,completed,NOVOSIBIRSK,2024-07-04
ab_000143,2026-04-28T10:05:00Z,143,82,4458.96,pending,SPB,2024-08-10
ab_000144,2026-04-28T10:05:00Z,144,23,3671.64,cancelled,KAZAN,2024-11-11
ab_000145,2026-04-28T10:05:00Z,145,69,3875.46,pending,NOVOSIBIRSK,2024-10-30
ab_000146,2026-04-28T10:05:00Z,146,35,1618.3,completed,MOSCOW,2024-05-22
ab_000147,2026-04-28T10:05:00Z,147,58,1226.88,pending,NOVOSIBIRSK,2024-06-21
ab_000148,2026-04-28T10:05:00Z,148,4,2476.59,pending,SPB,2024-09-06
ab_000149,2026-04-28T10:05:00Z,149,28,1780.58,pending,KAZAN,2024-05-23
ab_000150,2026-04-28T10:05:00Z,150,77,3508.91,pending,MOSCOW,2024-09-21
ab_000151,2026-04-28T10:05:00Z,151,25,437.21,cancelled,NOVOSIBIRSK,2024-09-07
ab_000152,2026-04-28T10:05:00Z,152,72,3793.24,cancelled,NOVOSIBIRSK,2024-11-26
ab_000153,2026-04-28T10:05:00Z,153,92,2459.2,completed,MOSCOW,2024-05-30
ab_000154,2026-04-28T10:05:00Z,154,29,2027.96,completed,KAZAN,2024-12-05
ab_000155,2026-04-28T10:05:00Z,155,75,1851.41,cancelled,KAZAN,2024-08-05
ab_000156,2026-04-28T10:05:00Z,156,96,2756.44,pending,NOVOSIBIRSK,2024-05-18
ab_000157,2026-04-28T10:05:00Z,157,40,1264.5,completed,SPB,2024-06-10
ab_000158,2026-04-28T10:05:00Z,158,16,3716.98,cancelled,SPB,2024-04-08
ab_000159,2026-04-28T10:05:00Z,159,28,3695.64,pending,KAZAN,2024-02-21
ab_000160,2026-04-28T10:05:00Z,160,25,1488.27,pending,SPB,2024-06-03
ab_000161,2026-04-28T10:05:00Z,161,2,3543.01,completed,KAZAN,2024-01-24
ab_000162,2026-04-28T10:05:00Z,162,7,2771.26,cancelled,SPB,2024-11-22
ab_000163,2026-04-28T10:05:00Z,163,97,2459.48,completed,KAZAN,2024-08-28
ab_000164,2026-04-28T10:05:00Z,164,62,2207.94,completed,MOSCOW,2024-05-09
ab_000165,2026-04-28T10:05:00Z,165,62,579.29,completed,NOVOSIBIRSK,2024-09-08
ab_000166,2026-04-28T10:05:00Z,166,10,2889.34,cancelled,MOSCOW,2024-03-18
ab_000167,2026-04-28T10:05:00Z,167,20,4057.6,pending,MOSCOW,2024-05-07
ab_000168,2026-04-28T10:05:00Z,168,16,2794.78,pending,SPB,2024-09-24
ab_000169,2026-04-28T10:05:00Z,169,49,2258.07,pending,KAZAN,2024-10-28
ab_000170,2026-04-28T10:05:00Z,170,55,1533.85,cancelled,MOSCOW,2024-11-08
ab_000171,2026-04-28T10:05:00Z,171,95,505.18,completed,SPB,2024-05-15
ab_000172,2026-04-28T10:05:00Z,172,85,415.13,completed,SPB,2024-10-09
ab_000173,2026-04-28T10:05:00Z,173,10,791.1,pending,NOVOSIBIRSK,2024-12-18
ab_000174,2026-04-28T10:05:00Z,174,77,2354.86,completed,SPB,2024-05-27
ab_000175,2026-04-28T10:05:00Z,175,91,1420.76,pending,MOSCOW,2024-12-17
ab_000176,2026-04-28T10:05:00Z,176,30,4620.32,cancelled,SPB,2024-08-05
ab_000177,2026-04-28T10:05:00Z,177,15,2727.37,cancelled,SPB,2024-05-16
ab_000178,2026-04-28T10:05:00Z,178,19,366.34,completed,KAZAN,2024-10-31
ab_000179,2026-04-28T10:05:00Z,179,96,4122.96,pending,NOVOSIBIRSK,2024-03-04
ab_000180,2026-04-28T10:05:00Z,180,60,3446.5,cancelled,NOVOSIBIRSK,2024-05-19
ab_000181,2026-04-28T10:05:00Z,181,65,2704.51,pending,MOSCOW,2024-11-02
ab_000182,2026-04-28T10:05:00Z,182,6,4448.22,cancelled,KAZAN,2024-11-05
ab_000183,2026-04-28T10:05:00Z,183,33,139.07,completed,MOSCOW,2024-12-10
ab_000184,2026-04-28T10:05:00Z,184,35,2885.47,completed,NOVOSIBIRSK,2024-09-22
ab_000185,2026-04-28T10:05:00Z,185,84,2216.72,pending,SPB,2024-10-26
ab_000186,2026-04-28T10:05:00Z,186,56,3177.58,pending,MOSCOW,2024-08-28
ab_000187,2026-04-28T10:05:00Z,187,45,2047.66,pending,MOSCOW,2024-03-23
ab_000188,2026-04-28T10:05:00Z,188,43,2064.11,pending,KAZAN,2024-12-05
ab_000189,2026-04-28T10:05:00Z,189,52,4069.69,cancelled,MOSCOW,2024-08-20
ab_000190,2026-04-28T10:05:00Z,190,12,1579.44,pending,MOSCOW,2024-07-25
ab_000191,2026-04-28T10:05:00Z,191,66,4126.39,completed,NOVOSIBIRSK,2024-07-30
ab_000192,2026-04-28T10:05:00Z,192,7,946.04,pending,NOVOSIBIRSK,2024-11-16
ab_000193,2026-04-28T10:05:00Z,193,57,3802.35,completed,KAZAN,2024-10-08
ab_000194,2026-04-28T10:05:00Z,194,17,4639.09,pending,NOVOSIBIRSK,2024-03-03
ab_000195,2026-04-28T10:05:00Z,195,4,4866.0,cancelled,SPB,2024-12-29
ab_000196,2026-04-28T10:05:00Z,196,21,1560.64,completed,NOVOSIBIRSK,2024-02-17
ab_000197,2026-04-28T10:05:00Z,197,29,4961.36,completed,NOVOSIBIRSK,2024-03-01
ab_000198,2026-04-28T10:05:00Z,198,83,4162.39,pending,KAZAN,2024-09-17
ab_000199,2026-04-28T10:05:00Z,199,91,1374.39,pending,NOVOSIBIRSK,2024-05-04
ab_000200,2026-04-28T10:05:00Z,200,59,2760.81,pending,SPB,2024-11-02
ab_000201,2026-04-28T10:05:00Z,201,66,3734.0,completed,MOSCOW,2024-05-21
ab_000202,2026-04-28T10:05:00Z,202,99,3952.13,pending,KAZAN,2024-09-16
ab_000203,2026-04-28T10:05:00Z,203,35,4104.54,pending,KAZAN,2024-10-27
ab_000204,2026-04-28T10:05:00Z,204,75,4994.52,pending,SPB,2024-08-16
ab_000205,2026-04-28T10:05:00Z,205,69,2426.86,pending,NOVOSIBIRSK,2024-08-21
ab_000206,2026-04-28T10:05:00Z,206,42,4349.31,cancelled,SPB,2024-10-19
ab_000207,2026-04-28T10:05:00Z,207,50,1175.48,pending,MOSCOW,2024-06-11
ab_000208,2026-04-28T10:05:00Z,208,96,2370.15,pending,NOVOSIBIRSK,2024-12-05
ab_000209,2026-04-28T10:05:00Z,209,84,4904.28,pending,MOSCOW,2024-03-05
ab_000210,2026-04-28T10:05:00Z,210,65,4827.11,pending,MOSCOW,2024-08-13
ab_000211,2026-04-28T10:05:00Z,211,13,2634.5,pending,MOSCOW,2024-03-14
ab_000212,2026-04-28T10:05:00Z,212,53,4355.96,completed,MOSCOW,2024-08-28
ab_000213,2026-04-28T10:05:00Z,213,101,4846.33,pending,NOVOSIBIRSK,2024-11-28
ab_000214,2026-04-28T10:05:00Z,214,11,4260.31,cancelled,NOVOSIBIRSK,2024-06-11
ab_000215,2026-04-28T10:05:00Z,215,81,3596.4,pending,MOSCOW,2024-11-12
ab_000216,2026-04-28T10:05:00Z,216,9,1181.5,cancelled,KAZAN,2024-04-26
ab_000217,2026-04-28T10:05:00Z,217,96,460.99,completed,MOSCOW,2024-08-15
ab_000218,2026-04-28T10:05:00Z,218,22,3473.07,completed,MOSCOW,2024-06-15
ab_000219,2026-04-28T10:05:00Z,219,8,1473.91,pending,NOVOSIBIRSK,2024-03-15
ab_000220,2026-04-28T10:05:00Z,220,32,2660.52,cancelled,SPB,2024-03-28
ab_000221,2026-04-28T10:05:00Z,221,23,404.05,pending,SPB,2024-09-11
ab_000222,2026-04-28T10:05:00Z,222,75,724.16,pending,KAZAN,2024-08-23
ab_000223,2026-04-28T10:05:00Z,223,33,3337.54,pending,KAZAN,2024-12-12
ab_000224,2026-04-28T10:05:00Z,224,70,798.3,pending,KAZAN,2024-10-27
ab_000225,2026-04-28T10:05:00Z,225,39,3198.3,pending,KAZAN,2024-08-21
ab_000226,2026-04-28T10:05:00Z,226,39,1004.09,pending,NOVOSIBIRSK,2024-02-24
ab_000227,2026-04-28T10:05:00Z,227,31,1913.01,pending,KAZAN,2024-12-24
ab_000228,2026-04-28T10:05:00Z,228,38,119.48,cancelled,NOVOSIBIRSK,2024-05-20
ab_000229,2026-04-28T10:05:00Z,229,2,2833.99,cancelled,MOSCOW,2024-11-06
ab_000230,2026-04-28T10:05:00Z,230,96,2488.67,pending,SPB,2024-11-06
ab_000231,2026-04-28T10:05:00Z,231,46,1102.83,completed,KAZAN,2024-12-13
ab_000232,2026-04-28T10:05:00Z,232,97,3607.43,cancelled,SPB,2024-11-17
ab_000233,2026-04-28T10:05:00Z,233,13,4517.98,cancelled,MOSCOW,2024-06-07
ab_000234,2026-04-28T10:05:00Z,234,101,2209.71,cancelled,KAZAN,2024-03-08
ab_000235,2026-04-28T10:05:00Z,235,12,4549.04,pending,NOVOSIBIRSK,2024-03-30
ab_000236,2026-04-28T10:05:00Z,236,26,669.48,cancelled,KAZAN,2024-09-28
ab_000237,2026-04-28T10:05:00Z,237,65,4568.3,completed,KAZAN,2024-09-03
ab_000238,2026-04-28T10:05:00Z,238,38,3735.33,pending,MOSCOW,2024-08-27
ab_000239,2026-04-28T10:05:00Z,239,10,712.38,completed,NOVOSIBIRSK,2024-10-12
ab_000240,2026-04-28T10:05:00Z,240,47,460.61,pending,MOSCOW,2024-05-15
ab_000241,2026-04-28T10:05:00Z,241,69,626.71,pending,KAZAN,2024-10-26
ab_000242,2026-04-28T10:05:00Z,242,49,4113.86,pending,MOSCOW,2024-12-11
ab_000243,2026-04-28T10:05:00Z,243,30,2362.67,cancelled,KAZAN,2024-11-08
ab_000244,2026-04-28T10:05:00Z,244,29,3241.79,cancelled,NOVOSIBIRSK,2024-12-24
ab_000245,2026-04-28T10:05:00Z,245,39,3249.7,completed,SPB,2024-01-24
ab_000246,2026-04-28T10:05:00Z,246,5,1528.78,pending,MOSCOW,2024-02-19
ab_000247,2026-04-28T10:05:00Z,247,31,4437.42,completed,NOVOSIBIRSK,2024-08-20
ab_000248,2026-04-28T10:05:00Z,248,48,3355.73,cancelled,NOVOSIBIRSK,2024-10-27
ab_000249,2026-04-28T10:05:00Z,249,96,3635.73,pending,MOSCOW,2024-09-07
ab_000250,2026-04-28T10:05:00Z,250,79,2046.5,pending,MOSCOW,2024-12-19
ab_000251,2026-04-28T10:05:00Z,251,48,1094.18,pending,SPB,2024-07-04
ab_000252,2026-04-28T10:05:00Z,252,13,4904.83,pending,KAZAN,2024-02-01
ab_000253,2026-04-28T10:05:00Z,253,51,1386.65,completed,NOVOSIBIRSK,2024-02-16
ab_000254,2026-04-28T10:05:00Z,254,85,1068.41,cancelled,MOSCOW,2024-01-26
ab_000255,2026-04-28T10:05:00Z,255,101,1674.21,completed,SPB,2024-02-05
ab_000256,2026-04-28T10:05:00Z,256,98,2775.5,cancelled,SPB,2024-04-29
ab_000257,2026-04-28T10:05:00Z,257,43,3874.1,cancelled,MOSCOW,2024-05-21
ab_000258,2026-04-28T10:05:00Z,258,19,4937.76,cancelled,KAZAN,2024-03-30
ab_000259,2026-04-28T10:05:00Z,259,15,3308.68,completed,SPB,2024-01-08
ab_000260,2026-04-28T10:05:00Z,260,46,3952.02,completed,KAZAN,2024-01-09
ab_000261,2026-04-28T10:05:00Z,261,23,1334.18,completed,NOVOSIBIRSK,2024-09-26
ab_000262,2026-04-28T10:05:00Z,262,15,3730.87,pending,NOVOSIBIRSK,2024-07-04
ab_000263,2026-04-28T10:05:00Z,263,66,2972.39,pending,SPB,2024-11-10
ab_000264,2026-04-28T10:05:00Z,264,6,3638.94,cancelled,KAZAN,2024-08-22
ab_000265,2026-04-28T10:05:00Z,265,83,4820.49,completed,NOVOSIBIRSK,2024-07-24
ab_000266,2026-04-28T10:05:00Z,266,55,3433.63,pending,NOVOSIBIRSK,2024-02-07
ab_000267,2026-04-28T10:05:00Z,267,11,1617.34,completed,MOSCOW,2024-03-05
ab_000268,2026-04-28T10:05:00Z,268,36,3125.34,cancelled,KAZAN,2024-07-14
ab_000269,2026-04-28T10:05:00Z,269,77,2657.48,pending,NOVOSIBIRSK,2024-02-20
ab_000270,2026-04-28T10:05:00Z,270,90,580.93,cancelled,SPB,2024-08-08
ab_000271,2026-04-28T10:05:00Z,271,58,4441.57,pending,KAZAN,2024-08-20
ab_000272,2026-04-28T10:05:00Z,272,52,2085.79,completed,KAZAN,2024-08-06
ab_000273,2026-04-28T10:05:00Z,273,41,3328.89,pending,SPB,2024-12-17
ab_000274,2026-04-28T10:05:00Z,274,61,345.0,completed,MOSCOW,2024-08-09
ab_000275,2026-04-28T10:05:00Z,275,13,3725.5,pending,SPB,2024-10-11
ab_000276,2026-04-28T10:05:00Z,276,8,2936.46,cancelled,KAZAN,2024-12-09
ab_000277,2026-04-28T10:05:00Z,277,16,2059.94,cancelled,NOVOSIBIRSK,2024-01-27
ab_000278,2026-04-28T10:05:00Z,278,37,3006.05,pending,MOSCOW,2024-10-22
ab_000279,2026-04-28T10:05:00Z,279,65,1071.57,cancelled,NOVOSIBIRSK,2024-04-24
ab_000280,2026-04-28T10:05:00Z,280,14,1757.07,cancelled,KAZAN,2024-02-28
ab_000281,2026-04-28T10:05:00Z,281,98,1400.06,completed,NOVOSIBIRSK,2024-10-14
ab_000282,2026-04-28T10:05:00Z,282,99,4093.95,cancelled,MOSCOW,2024-11-07
ab_000283,2026-04-28T10:05:00Z,283,85,4149.01,pending,MOSCOW,2024-04-02
ab_000284,2026-04-28T10:05:00Z,284,35,3516.47,pending,KAZAN,2024-06-28
ab_000285,2026-04-28T10:05:00Z,285,1,915.21,completed,NOVOSIBIRSK,2024-02-05
ab_000286,2026-04-28T10:05:00Z,286,19,3707.44,completed,MOSCOW,2024-09-28
ab_000287,2026-04-28T10:05:00Z,287,28,1887.21,pending,KAZAN,2024-03-21
ab_000288,2026-04-28T10:05:00Z,288,48,1565.07,pending,MOSCOW,2024-01-27
ab_000289,2026-04-28T10:05:00Z,289,20,795.48,cancelled,MOSCOW,2024-12-11
ab_000290,2026-04-28T10:05:00Z,290,11,1367.79,cancelled,NOVOSIBIRSK,2024-09-05
ab_000291,2026-04-28T10:05:00Z,291,78,2215.8,pending,SPB,2024-09-19
